2025-12-14 16:07:51.243400 | 127.0.0.1 | / | 
2025-12-14 16:07:51.651524 | 127.0.0.1 | /styles.css | 
2025-12-14 16:07:51.661849 | 127.0.0.1 | /app.js | 
2025-12-14 16:07:51.900800 | 127.0.0.1 | /favicon.ico | 
2025-12-14 16:08:09.617659 | 127.0.0.1 | /integrity/b31g | 
2025-12-14 16:08:13.442188 | 127.0.0.1 | /integrity/b31g | 
2025-12-14 16:08:15.758975 | 127.0.0.1 | /integrity/b31g | 
2025-12-14 16:08:16.586629 | 127.0.0.1 | /integrity/b31g | 
2025-12-14 16:08:16.763099 | 127.0.0.1 | /integrity/b31g | 
2025-12-14 16:08:21.000704 | 127.0.0.1 | /defects/rank | 
2025-12-14 16:25:46.547682 | 127.0.0.1 | / | 
2025-12-14 16:38:43.649001 | 127.0.0.1 | /rank | 
2025-12-14 17:07:46.759755 | 127.0.0.1 | /map.html | 
2025-12-14 17:07:48.210427 | 127.0.0.1 | /pipeline_risk.geojson | 
2025-12-14 17:10:38.410547 | 127.0.0.1 | /map.html | 
2025-12-14 17:10:42.010961 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:11:52.762207 | 127.0.0.1 | /map.html | 
2025-12-14 17:11:52.866690 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:13:01.077973 | 127.0.0.1 | /map.html | 
2025-12-14 17:13:24.662321 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:13:37.941763 | 127.0.0.1 | /map.html | 
2025-12-14 17:13:39.436272 | 127.0.0.1 | /favicon.ico | 
2025-12-14 17:13:41.660493 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:14:25.308527 | 127.0.0.1 | /map.html | 
2025-12-14 17:14:25.395030 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:14:46.686324 | 127.0.0.1 | /map.html | 
2025-12-14 17:14:46.777661 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:15:45.132464 | 127.0.0.1 | /map.html | 
2025-12-14 17:15:45.293720 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:15:45.746719 | 127.0.0.1 | /pipeline_risk.geojson | 
2025-12-14 17:18:27.389312 | 127.0.0.1 | /map.html | 
2025-12-14 17:18:27.492949 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:18:27.973579 | 127.0.0.1 | /pipeline_risk.geojson | 
2025-12-14 17:19:02.150061 | 127.0.0.1 | /map.html | 
2025-12-14 17:19:02.269961 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 17:19:02.460314 | 127.0.0.1 | /pipeline_risk.geojson | 
2025-12-14 17:40:14.253734 | 127.0.0.1 | /map.html | 
2025-12-14 17:40:14.561361 | 127.0.0.1 | /.well-known/appspecific/com.chrome.devtools.json | 
2025-12-14 21:34:26.478859 | 127.0.0.1 | /cost | 
2025-12-14 21:34:35.704965 | 127.0.0.1 | /econimics | 
